timestamp,lr,emb,layer,head,batch,ctx,final_loss,time_seconds,steps_used
2026-02-26 15:06:57,0.02,48,2,8,16,16,,13.607990086,13
2026-02-26 15:07:02,0.02,64,1,4,4,16,,5.061692528,15
2026-02-26 15:07:13,0.02,64,1,4,8,16,,10.498009334,13
2026-02-26 15:07:39,0.02,64,1,4,16,16,,26.940693795,26
2026-02-26 15:07:45,0.02,64,1,8,4,16,,5.402043359,17
2026-02-26 15:07:55,0.02,64,1,8,8,16,,10.348502144,12
2026-02-26 15:08:16,0.02,64,1,8,16,16,,20.558948520,9
2026-02-26 15:08:21,0.02,64,2,4,4,16,,4.935322287,10
2026-02-26 15:08:32,0.02,64,2,4,8,16,,10.921060717,14
2026-02-26 15:08:53,0.02,64,2,4,16,16,,20.955532283,9
2026-02-26 15:09:00,0.02,64,2,8,4,16,,7.338011282,41
2026-02-26 15:09:10,0.02,64,2,8,8,16,,9.706262276,9
2026-02-26 15:09:35,0.02,64,2,8,16,16,,24.812206633,21
2026-02-26 15:09:35,0.03,16,1,4,4,16,,.527650263,9
2026-02-26 15:09:37,0.03,16,1,4,8,16,,1.348367136,26
2026-02-26 15:09:39,0.03,16,1,4,16,16,,2.449995050,13
2026-02-26 15:09:40,0.03,16,1,8,4,16,,.745876032,31
2026-02-26 15:09:41,0.03,16,1,8,8,16,,1.262038440,21
2026-02-26 15:09:43,0.03,16,1,8,16,16,,2.361189866,11
2026-02-26 15:09:45,0.03,16,2,4,4,16,,1.167096724,84
2026-02-26 15:09:47,0.03,16,2,4,8,16,,1.938454137,64
2026-02-26 15:09:49,0.03,16,2,4,16,16,,2.261140595,8
2026-02-26 15:09:50,0.03,16,2,8,4,16,,.622041227,17
2026-02-26 15:09:52,0.03,16,2,8,8,16,,2.795245900,113
2026-02-26 15:09:55,0.03,16,2,8,16,16,,2.266563178,9
2026-02-26 15:09:56,0.03,32,1,4,4,16,,1.144272198,6
2026-02-26 15:09:59,0.03,32,1,4,8,16,,3.550083806,29
2026-02-26 15:10:05,0.03,32,1,4,16,16,,5.811366377,6
2026-02-26 15:10:06,0.03,32,1,8,4,16,,1.234219873,10
2026-02-26 15:10:09,0.03,32,1,8,8,16,,2.533958413,5
2026-02-26 15:10:15,0.03,32,1,8,16,16,,6.091379826,8
2026-02-26 15:10:16,0.03,32,2,4,4,16,,1.224089201,5
2026-02-26 15:10:19,0.03,32,2,4,8,16,,2.867534529,15
2026-02-26 15:10:29,0.03,32,2,4,16,16,,9.290405903,42
2026-02-26 15:10:30,0.03,32,2,8,4,16,,1.363180930,13
2026-02-26 15:10:33,0.03,32,2,8,8,16,,2.701033222,9
2026-02-26 15:10:38,0.03,32,2,8,16,16,,5.608945100,4
2026-02-26 15:10:41,0.03,48,1,4,4,16,,2.853787762,10
2026-02-26 15:10:47,0.03,48,1,4,8,16,,5.664780164,5
2026-02-26 15:10:59,0.03,48,1,4,16,16,,12.214885123,7
2026-02-26 15:11:03,0.03,48,1,8,4,16,,4.152209945,41
2026-02-26 15:11:09,0.03,48,1,8,8,16,,5.929653071,9
2026-02-26 15:11:27,0.03,48,1,8,16,16,,17.629631887,32
2026-02-26 15:11:29,0.03,48,2,4,4,16,,2.485068365,3
2026-02-26 15:11:35,0.03,48,2,4,8,16,,5.369493324,3
2026-02-26 15:11:54,0.03,48,2,4,16,16,,19.028917849,39
2026-02-26 15:11:56,0.03,48,2,8,4,16,,2.636702092,8
2026-02-26 15:12:02,0.03,48,2,8,8,16,,5.759155674,5
2026-02-26 15:12:23,0.03,48,2,8,16,16,,20.604692682,47
